id,name,artists,stream_counts
6bsCBJP0knnlppq6K09WaZ,Lộn Xộn 2,['Đen'],3834000.0
1KpPymup1tlWrIBJR2BKAH,Triệu điều nhỏ xíu xiêu lòng,"['Đen', 'Kim Long']",286973.0
1ZSwYD21wiQCx3VYrnQHMm,FRIENDSHIP,"['Đen', 'Friends']",1271727.0
2ePBZnZ9I824PlUdRYxWzA,Rapcoustic 5,"['Đen', 'Kimmese', 'Lynk Lee']",4896139.0
3mMAxli9HDnNdDjaTlDyJg,Mơ,"['Đen', 'Hậu Vi']",4339912.0
5ETwIvPHsVW569wYCZo7vw,Cảm ơn,"['Đen', 'Biên']",5238731.0
7AruIZ49B82PSjs6Pi4iX2,Dưới Hiên Nhà,"['Đen', 'Emcee L (Da LAB)', 'JGKiD (Da LAB)']",3416779.0
76zJmpyMFX49tGT3u06JaK,Luôn yêu đời,"['Đen', 'Cheng']",4334723.0
5DjJXl38Qz413nIMbnDYYh,hai triệu năm - Madihu mix,"['Đen', 'Madihu', 'Biên']",3758561.0
1WCAkmmTM06in2ojuQ9CK5,Ai muốn nghe không,['Đen'],4886175.0
5fhPkYIb1am6DElI2BKG3S,Ghé Thăm,"['Đen', 'JGKiD (Da LAB)', 'Kimmese', 'Linh Cáo']",3430472.0
3pgwxYRPbYIC6C1J2FPge8,Diễn viên tồi,"['Đen', 'Thành Bùi', 'Cadillac']",3751846.0
2amqqr1qK2pAX2dFslerrn,Mưa Trên Những Mái Tôn,"['Đen', 'Kaang']",2948637.0
63AhBSXTXpISy9AYFRPslk,Đừng Gọi Anh Là Idol,"['Đen', 'Lynk Lee']",2858947.0
6uUWkFKG9Ypmk3rNtU6yqA,Ngày Lang Thang - Solo Version,['Đen'],1909022.0
6fH70e3UxJFNmLApdijeGa,Đưa Nhau Đi Trốn - Live At Show Của Đen,"['Đen', 'Linh Cáo']",1631863.0
2I9QJOvD1lamK9tHffY4La,Miền Đất Hứa,"['Hoàng Thùy Linh', 'Đen']",1366658.0
3dhhofto4DVsr2G9Z2r8lP,Trạm Dừng Chân,"['Kimmese', 'Đen']",1250506.0
7euo1fcj711Kqy0jjltvgC,Nếu Mình Gần Nhau,"['Đen', 'Chi Pu', 'Lynk Lee']",2372274.0
536TCHBw2tpMpAjukbFVAI,Nhạc của rừng,"['Đen', 'Hiền VK']",549868.0
3stYwdAaZR0xwEKSocKIXg,Đố em biết anh đang nghĩ gì - Remix,"['Đen', 'JustaTee', 'Biên', 'Madihu']",1820851.0
2H5XRciniz2nQ0jhaZJcd9,Mười Năm - Live At Show Của Đen,"['Đen', 'Ngọc Linh']",830273.0
0e6fZkLArSmDIHnZcIua7t,Không Yêu Em Thì Yêu Ai?,"['Vũ.', 'Low G']",11447834.0
41DlPJXKTCypXdf2eSqa03,bình yên,"['Vũ.', 'Binz']",26022111.0
2xOhv7XudrBDtkID1jwsFE,Từng Là,['Vũ Cát Tường'],27730835.0
6VXVYATpQXEIoZ97NnWCmn,Vì Anh Đâu Có Biết,"['Madihu', 'Vũ.']",54421041.0
2a5hng9yXtbjtTVVm9UviC,Mơ,['Vũ Cát Tường'],25125547.0
5IZDnmnMBzLnE6APoYL26d,bình yên,"['Vũ.', 'Binz']",26022111.0
5Bti0azlFhMattVY76qFr9,Lạ Lùng,['Vũ.'],37814517.0
1LJyhnPdYGRLerwJd8CmL1,Những Lời Hứa Bỏ Quên,"['Vũ.', 'Dear Jane']",35699641.0
1bG6Q8sR8jda7ryI365y8o,Những Lời Hứa Bỏ Quên,"['Vũ.', 'Dear Jane']",35699641.0
5cn5oHiXJTLiuthgbgfkMh,Vết Mưa,['Vũ Cát Tường'],16266386.0
2dPJtlvoa3GDowCh035M8P,Nếu Những Tiếc Nuối,['Vũ.'],5657089.0
6uxuJ8Fr1AAfSPJUF9N1yr,Bước Qua Mùa Cô Đơn,['Vũ.'],35934006.0
7eDrdQ7PK9Xm1CZCKWsgmH,Anh Nhớ Ra (feat. TRANG),"['Vũ.', 'TRANG']",19349815.0
3qllaNK66kKxX123f0eKpj,Mùa Mưa Ấy,['Vũ.'],3363902.0
38rjRVqEHSlDRrDWDvjkqW,Bước Qua Nhau,['Vũ.'],29226736.0
0B1ZnYwYefkNhZeE8ZQpv5,Đông Kiếm Em,['Vũ.'],16919122.0
4N99EuIjwSSFFFMDfTeOLU,Em Không Khóc (feat. Vũ Phụng Tiên),"['buitruonglinh', 'Vũ Phụng Tiên']",19197688.0
1hyDeosKOqqI4YcqFgzNlQ,Hình Trái Tim,"['Thắng', 'Vũ Thanh Vân']",6579337.0
5TtNxUZBjYR4wgzOpHpS7h,"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)","['ANH TRAI ""SAY HI""', 'HIEUTHUHAI', 'JSOL', 'Ali Hoàng Dương', 'Vũ Thịnh']",8154911.0
2JuHIbFudHwDqQssgqsH3i,Lệ Lưu Ly,"['Vũ Phụng Tiên', 'DT TAP RAP', 'Drum7']",26098428.0
4ElFTH8hqX7XkzRbCtktfi,"Ngày Này, Người Con Gái Này",['Vũ Cát Tường'],261960.0
6jcLKVmEKAQIXIVHJZ8vzS,tình yêu chậm trễ,"['MONSTAR', 'GREY D', 'NICKY', 'VƯƠNG BÌNH']",24308088.0
3LGNVNZeEIUwdzDvnUO73V,Phút Ban Đầu,['Vũ.'],13929641.0
3z6En4mQQJiDQquVkOcBam,Chỉ Cần Có Nhau,['Vũ Cát Tường'],1601208.0
12bcCsDriq4kuXeC6egRUT,Dành Hết Xuân Thì Để Chờ Nhau,"['Vũ.', 'Hà Anh Tuấn']",9173538.0
1fFvYVg1v3rpUSqKNCUh7b,Người Bình Thường,['Vũ Cát Tường'],4984634.0
7HkOqABWXwZwx9ujjnS6Tg,Yêu Xa,['Vũ Cát Tường'],7403766.0
63sss8NjI2cmUWe1D3WwnS,Đợi đến tháng 13,"['Vũ Thịnh', 'ViAM']",4006700.0
18iADruKMXIloyA9vCJXFE,Chàng Trai Bất Tử,"['An Vũ', 'Sino']",10047826.0
2SmnoPHetB88xJwC6HJHGv,"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)","['ANH TRAI ""SAY HI""', 'HIEUTHUHAI', 'JSOL', 'Ali Hoàng Dương', 'Vũ Thịnh']",8170546.0
3OpIJBi2qUaJUJRzLNMjDt,Em Ơi,"['Vũ Cát Tường', 'Hakoota']",7775382.0
7zKDCM8YoeC3tqHV5ZmFuy,Lời Yêu Em,['Vũ.'],9983203.0
2ddbldKhKrYvOBbYa87cbj,Dành Hết Xuân Thì Để Chờ Nhau,"['Vũ.', 'Hà Anh Tuấn']",9185403.0
7wkX67ruxr3x2GFz6vyIX9,Bước Qua Mùa Cô Đơn,['Vũ.'],35934006.0
6GJi4nSZOiTOU2FhsgxWyH,Bước Qua Nhau,['Vũ.'],29226736.0
3pGmwEpfj2qbhwGV0G1p5u,"Ngày Này, Người Con Gái Này - Vow Version",['Vũ Cát Tường'],33672.0
57fl4RGp0JPU4ZxL9g8MNQ,05 (Không Phai) - Remix,"['Tăng Duy Tân', 'Vu Trung Quan']",4550986.0
6jvCnAiPiiy5OORy8x4hRI,Gặp Nhưng Không Ở Lại,"['Hiền Hồ', 'Vương Anh Tú']",14516099.0
6YndJvp5XpMuzmtWLWI8hp,Em Không,['Vũ Thanh Vân'],4953051.0
03P3uM9VqJ4NbCvR5UrLY4,Và Em Sẽ Luôn Là Người Tôi Yêu Nhất,"['Vũ.', 'khang']",1174305.0
0TcbY7JJzalPExhhqpgAQM,"DON'T CARE (feat. Isaac, Quang Hùng MasterD, Negav, Gin Tuấn Kiệt, Vũ Thịnh & Nanon)","['ANH TRAI ""SAY HI""', 'Isaac', 'Quang Hùng MasterD', 'Negav', 'Gin Tuấn Kiệt', 'Vũ Thịnh', 'NANON']",3427156.0
2ChenqVQrNrTbeRRGfhVDg,Đợi,['Vũ.'],6658659.0
2qYHRRhnCWB3JEiM4AXdEK,Những Chuyến Bay,['Vũ.'],1162646.0
54UNNgtE3zzERwTuWSQLqd,có hẹn với thanh xuân,"['MONSTAR', 'GREY D', 'VƯƠNG BÌNH']",37352896.0
