album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
summer flows 0.02,single,69,['wave to earth'],1,255998,False,5VBjyOQzqlPNgdRPMM6prF,seasons,78,3,2020-08-04,[],371504357.0
Камин (feat. JONY),single,58,"['EMIN', 'JONY']",1,187619,False,057YRaQ57p70MVg4hMIIkB,Камин (feat. JONY),68,1,2020-03-27,[],63030450.0
LEO-NiNE,album,60,['LiSA'],1,237586,False,0qMip0B2D4ePEjBJvAtYre,紅蓮華,69,2,2020-10-14,"['j-pop', 'anime', 'j-rock']",477375735.0
WAP (feat. Megan Thee Stallion),single,63,"['Cardi B', 'Megan Thee Stallion']",1,187541,True,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),73,1,2020-08-07,[],1410813607.0
Kid Krow,album,79,['Conan Gray'],1,231920,False,7wTqEW5nrMhvyEhEyTnOMd,The Cut That Always Bleeds,81,6,2020-03-20,[],236791008.0
Changes,album,69,"['Justin Bieber', 'Quavo']",1,212866,False,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),72,4,2020-02-14,[],1263575012.0
Color,single,64,['Coyote Theory'],1,242010,False,79EkGysjP2dL5GdpeQjRxT,This Side of Paradise,75,3,2020-12-11,[],602991804.0
四季予你,single,45,['程響'],1,248527,False,4BGkSCrjiLao1bpibNptTD,四季予你,54,1,2020-12-19,"['gufeng', 'c-pop', 'mandopop']",35384669.0
迷失幻境,single,45,"['IN-K', '王忻辰']",1,156649,False,1UbwQEeBGvmSsJrnfEoaU1,迷失幻境,55,1,2020-09-29,"['chinese r&b', 'gufeng', 'c-pop', 'mandopop']",27957555.0
minor,single,74,['Gracie Abrams'],1,167538,False,4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",82,5,2020-07-14,[],581614688.0
Music To Be Murdered By,album,72,"['Eminem', 'Juice WRLD']",1,210800,True,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),80,7,2020-01-17,"['rap', 'emo rap', 'melodic rap', 'hip hop']",1657979716.0
少年,album,48,['梦然'],1,236114,False,56XaEf9Mo2Njaxa9TIn5LR,少年,57,1,2020-03-20,"['c-pop', 'mandopop']",50512320.0
ITAEWON CLASS (Original Television Soundtrack) Pt.2,single,50,['Gaho'],1,202440,False,5TeDIQrpwWtLWaFfzLH0hh,시작,60,1,2020-02-01,['soundtrack'],154503720.0
Kaikai Kitan / Ao No Waltz,album,60,['Eve'],1,221426,False,6y4GYuZszeXNOXuBFsJlos,Kaikai Kitan,69,1,2020-12-23,"['vocaloid', 'j-rock', 'j-pop', 'anime', 'japanese indie']",458093446.0
THE ALBUM,album,65,['BLACKPINK'],1,180956,False,6bvZRLLkBKkmgpBJTTj3QK,How You Like That,65,1,2020-10-02,['k-pop'],1108026264.0
Flower,single,53,['DANIEL'],1,297591,False,4gAIUEY7VkeiKQOPwIYaYb,Lily of The Valley,63,1,2020-02-14,[],53940837.0
Heaven & Hell,album,75,['Ava Max'],1,162398,False,7a53HqqArd4b9NF4XAmlbI,Kings & Queens,77,3,2020-09-18,[],1071055861.0
CALM,album,69,['5 Seconds of Summer'],1,205502,False,3NxWJWftvkstyxvb1pZlFo,Teeth,76,5,2020-03-27,[],795078732.0
Rare,album,70,['Selena Gomez'],1,194900,False,63mdJr3NMY3wReOkNE6c6W,People You Know,72,7,2020-01-10,['pop'],369774985.0
勇气,single,47,['棉子'],1,241711,False,5rY7xc2h5Imj6iFn97h8Qj,勇气,58,1,2020-03-22,"['gufeng', 'c-pop', 'mandopop']",59947990.0
Future Nostalgia,album,76,['Dua Lipa'],1,203807,False,39LLxExYz6ewLAcYrzQQyP,Levitating,73,5,2020-03-27,['pop'],1035610815.0
Whole Lotta Red,album,77,['Playboi Carti'],1,193234,True,29TPjc8wxfz4XMn21O7VsZ,Sky,77,19,2020-12-25,['rage rap'],838612547.0
eight,single,53,"['IU', 'SUGA']",1,167573,False,0pYacDCZuRhcrwGUA5nTBe,eight(Prod.&Feat. SUGA of BTS),63,1,2020-05-06,"['k-pop', 'k-ballad']",322324161.0
"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",compilation,65,"['Rosa Walton', 'Hallie Coggins']",1,246652,False,7mykoq6R3BArsSpNDjFQTm,I Really Want to Stay at Your House,72,5,2020-12-18,[],280211775.0
Let's Skip to the Wedding,album,67,['Eyedress'],1,86739,False,7s5VQqrjBtrBgZL4pEa46S,Romantic Lover,75,5,2020-08-07,[],582465704.0
STRAY SHEEP,album,64,['Kenshi Yonezu'],1,255826,False,04TshWXkhV1qkqHzf31Hn6,Lemon,67,8,2020-08-05,"['j-pop', 'anime', 'j-rock']",227893337.0
THE ALBUM,album,65,['BLACKPINK'],1,192765,False,1GMufNnkKAnPLnqKJ5HHxW,Lovesick Girls,65,5,2020-10-02,['k-pop'],621191675.0
IT'z ME,album,56,['ITZY'],1,191242,False,4pspYVQGFHLPEFgQPD1J7e,WANNABE,65,1,2020-03-09,['k-pop'],396775008.0
Future Nostalgia,album,69,"['Dua Lipa', 'DaBaby']",1,203064,False,5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),77,12,2020-03-27,['pop'],2258299321.0
