id,name,artists,stream_counts
5ulbeVPDoTA9AalmRHAUDt,你想要的,['颜人中'],4616391
780be5fB7823aHG06mwTat,Baianá,['Bakermat'],523625569
3ILWwi1JNj3NGuuf6DzYxN,Flamingo,['Kenshi Yonezu'],57320826
50Td3qilgs8BLtv8mHyT1t,Control,['Zoe Wees'],515465675
0ztR7sCDXwCU5I8QJKemSU,我很快樂,['Eric Chou'],37110112
08dz3ygXyFur6bL7Au8u8J,Over,['Playboi Carti'],124268140
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),"['Pop Smoke', 'A Boogie Wit da Hoodie']",615974130
6H0PLsSYMzDOqhLgyOlzIj,感電,['Kenshi Yonezu'],142617096
6w7LuFlBLYoIuOsuzdYOJ9,阿拉斯加海湾,['Firdhaus'],26527194
4dq7XLDmFHNwc1yqL339qT,Wake Me Up In Paris,"['Anthony Keyrouz', 'Paradigm']",165572671
3hS1SjSgquGR8Dj1Ypp88R,Shhh Baby Shusher Sleep - Soft Female Voice (Loopable),"['Dream Supplier', 'Baby Sleeps']",86178352
3nS9a01VvXHQriLqJYwRqG,DOLLAZ ON MY HEAD (feat. Young Thug),"['Gunna', 'Young Thug']",417573369
3s761CQaziQ0GEN1yUkIsG,‎Good Night Good Dream,['Nerd Connection'],11134966
4guQztGKAETkvuTekNeqBe,You're Still The One,['Teddy Swims'],97151081
4K06PO78fW4mnBVenxGNob,Conversations,['Juice WRLD'],458803147
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,['Polo G'],1002213417
66w7lK0t98OPgvYjXp39IP,Excitement,"['Trippie Redd', 'PARTYNEXTDOOR']",290595935
57BGVV6wcyhbn3hsjlqEZB,Element,['Pop Smoke'],570803118
7CAbF0By0Fpnbiu6Xn5ZF7,Kingslayer (feat. BABYMETAL),"['Bring Me The Horizon', 'BABYMETAL']",258734216
2Fs0aeYIBO2YRFA6z5oec9,Pense,['Marcelo & Rayane'],3049754
1xWVYPdaLm909DbFmuPGOR,Slightly Tipsy (She is My Type♡ X SANDEUL),['Sandeul'],14207339
792HwhrdO3ErRKL5yRe4Ge,Invincible,['Pop Smoke'],601867268
4aOOExMBUyxKnEYb39SrTg,Riot,['XXXTENTACION'],397440509
1ZPVEo8RfmrEz8YAD5n6rW,Lantas,['Juicy Luicy'],424081377
4PklAHGXT5ityno3IA8SKd,Go Stupid,"['Polo G', 'Stunna 4 Vegas', 'NLE Choppa', 'Mike WiLL Made-It']",466789644
4rHIfYRQw6ittRQXAlurk0,Favorite Mistake,['GIVĒON'],138383770
1BLOVHYYlH4JUHQGcpt75R,Ode To The Mets,['The Strokes'],112055838
6vxU64pcIuQ38O015Zy4qj,Homecoming,['Lil Uzi Vert'],202244687
530l1XggFTVKZIM3khE10r,Lose,['NIKI'],147201554
2QdSb68BzZGMgCbsrFmSLc,Higher,['Tems'],180943857
0BZ5YlY2xnwfUmyGdiOMje,Call on Me - Ryan Riback Remix,"['Starley', 'Ryan Riback']",935414853
53PHCS3cgaXm3JCIlAw6z8,Airplane Sleep Pt.1,['Fabricants of Noise'],135587361
5AkV53fo1u01mi8r22JNeF,I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack,"['Ardhito Pramono', 'Aurélie']",135379440
2Hd7uGbl8PX0IxyX59VFOg,The Beach,['GIVĒON'],113241566
2bFGGsScXp2Tu10jKMCKO6,Figure You Out,['VOILÀ'],165625437
2t0wwvR15fc3K1ey8OiOaN,Selfless,['The Strokes'],166980558
2hwOoMtWPtTSSn6WHV7Vp5,Blue World,['Mac Miller'],394873732
1VAKnb1btGrQXcVZVSRkPe,Good & Plenty,"['Alex Isley', 'Masego', 'Jack Dine']",67689348
7dH0dpi751EoguDDg3xx6J,ドライフラワー,['Yuuri'],295424514
1BIXs6CdkPRLytuqoXs6XN,4K,"['El Alfa', 'Darell', 'Noriel']",307223016
3NqBxTOMCJ3zW9CIP51td4,Jugaste y Sufrí,"['Eslabon Armado', 'DannyLux']",550635230
6V2ycd5EqUqAl9r6NHqjNN,不刪,['井朧'],27299864
19fp9nI0tq0lcBl7XoCHAb,唯一 (三立/台視戲劇《戀愛是科學》插曲),['告五人'],39466494
1uAOCTevGnyKIDbgZdOCnE,Voilà,['Barbara Pravi'],163035186
6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),"['Lil Baby', '42 Dugg']",459083106
0iniTNHwqBiP4UDE1dgUpD,馬と鹿,['Kenshi Yonezu'],62902094
2fzucOTof4pxCDG6u8iiGY,GONE,"['Leellamarz', 'TOIL', 'Paloalto']",5496607
4evIzA3tOUSwIH1TVOri8c,天外来物,['Joker Xue'],25864960
5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),"['Wizkid', 'Tems']",282486452
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,['Ozzy Osbourne'],751490235
6uSe3ACORUIVrAyiP84RZi,melt bitter,['satomoka'],47518905
5jvk5UfmXVHHjwNezUeqZ5,不在,['颜人中'],8225622
38640CoyYmrZIjHQBytjFp,Early in the Morning,['Peder B. Helland'],10979975
1yoMvmasuxZfqHEipJhRbp,Hawái,['Maluma'],1453626893
2SSyJ6hTS0JeHTg63wVDZ7,Next To You,['Bryson Tiller'],102419329
5f4Hy5mw5SRaUgXX9c6P5S,Sum 2 Prove,['Lil Baby'],498153309
0rk2IHFiHFnO7t0jvAeHW9,Back Again (feat. Lil Durk),"['King Von', 'Prince Dre', 'Lil Durk']",109243331
0biVzpdI2z0vAxwfU9xuuA,Too Comfortable,['Future'],155720432
5m0yZ33oOy0yYBtdTXuxQe,Low Down,['Lil Baby'],292151012
25U5ea5BGlFK5318WduEzI,"He's next to you, instead of me","['TOIL', 'Kid Wine']",6161776
5vsM9UppL2iTgOfenMB6Gz,飛行艇,['King Gnu'],82700135
4LxFRsy3TZjqAtAgIsjkez,"Rainy day (Feat. ASH ISLAND, Skinny Brown)","['PATEKO', 'ASH ISLAND', 'Skinny Brown']",8856028
1sxGIhaxY8eF52e1TlShSP,Pardon Me (Lil Yachty feat. Future & Mike WiLL Made-It),"['Lil Yachty', 'Future', 'Mike WiLL Made-It']",140941752
6MPAgclYe1F9LSYXxOuoBC,Let's Not Love Each Other,['GIRIBOY'],5739913
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),"['Pop Smoke', '50 Cent', 'Roddy Ricch']",591102742
17zEBtrjKKa2hwk9CxWIkX,MARCELINE,['Lil God Dan'],139943180
0xUvi7wldroBzaZCengPa5,24 (feat. Lil Baby),"['Money Man', 'Lil Baby']",422079622
16iRlyUMJVPqz62DlomMre,Ikaw Lang,['NOBITA'],334472263
1eksfAXWPUmvYRtdMv2gSI,Gymnopédie,['Lullaby Time'],58248529
2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,['Tems'],204777858
0zWbYGQq5O1KQd0iqzgjP6,Rehab (Winter In Paris),['Brent Faiyaz'],293223110
4SCnCPOUOUXUmCX2uHb3r7,Outta Time (feat. Drake),"['Bryson Tiller', 'Drake']",170101182
3vrm4dNThrhQ0BArrLIUOV,Somebody's Watching Me,"['Chico Rose', '71 Digits']",176196265
4GHzE0rDsSkbj6V6UXZTLc,Terlalu Tinggi,['Juicy Luicy'],70735479
4b93D55xv3YCH5mT4p6HPn,Ocean Drive,['Duke Dumont'],692897425
1dcNEEtODRVZEevQ20Cgmy,Nangangamba,['Zack Tabudlo'],161287661
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,['Pop Smoke'],543034851
33iv4ikGd0KboI6xNPL80i,Dark Side Of The Moon,['suisside'],87373128
2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,['Chris Stapleton'],595915863
