album,album_type,album_popularity,artists,available_markets,disc_number,duration_ms,explicit,id,is_local,is_playable,name,popularity,track_number,type,release_date,genres
dreaAMEE,album,53,['AMEE'],184,1,253500,False,2SykQzXuFSeprST1uDjj1m,False,True,trời giấu trời mang đi,52,6,track,2020-06-20,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
Dù Cho Mai Về Sau (Acoustic Version),single,42,['buitruonglinh'],185,1,213490,False,11hcyWq7qSwBE3bvv5Ialn,False,True,Dù Cho Mai Về Sau - Acoustic Version,52,1,track,2020-01-12,"['vietnam indie', 'vietnamese lo-fi', 'v-pop', 'vinahouse']"
dreaAMEE (acoustic version),album,41,"['AMEE', 'Hoàng Dũng']",184,1,204230,False,5zmAoCuKCbcawLtGiWF2PP,False,True,từ thích thích thành thương thương,49,5,track,2020-12-16,"['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
After Hours,album,83,['The Weeknd'],184,1,361026,False,2p8IUWQDrpjuFltbdgLOag,False,True,After Hours,78,13,track,2020-03-20,[]
Chuyện Rằng,single,42,['Thịnh Suy'],184,1,272152,False,7oBUoEbCDF748UkHnLusUB,False,True,Chuyện Rằng,52,1,track,2020-08-08,"['vietnam indie', 'vietnamese lo-fi', 'v-pop']"
folklore,album,82,['Taylor Swift'],184,1,239560,False,4R2kfaDFhslZEMJqAFNpdd,False,True,cardigan,81,2,track,2020-07-24,[]
folklore,album,82,['Taylor Swift'],184,1,261922,False,3hUxzQpSfdDqwM3ZTFQY0K,False,True,august,80,8,track,2020-07-24,[]
Shut up My Moms Calling,single,72,['Hotel Ugly'],185,1,164571,False,3hxIUxnT27p5WcmjGUXNwx,False,True,Shut up My Moms Calling,82,1,track,2020-02-10,[]
Muốn Nói Với Em,single,39,"['T Team', 'DT TAP RAP']",184,1,233513,False,5Um995yUx3GSJ6uNOMaaP4,False,True,Muốn Nói Với Em,50,1,track,2020-06-06,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']"
TAKE TIME,album,72,['GIVĒON'],185,1,198370,False,3FAJ6O0NOHQV8Mc5Ri6ENp,False,True,Heartbreak Anniversary,77,6,track,2020-03-27,['r&b']
BE,album,71,['BTS'],184,1,207481,False,5FVbvttjEvQ8r2BgUcJgNg,False,True,Life Goes On,72,1,track,2020-11-20,['k-pop']
summer flows 0.02,single,69,['wave to earth'],184,1,255998,False,5VBjyOQzqlPNgdRPMM6prF,False,True,seasons,78,3,track,2020-08-04,[]
Камин (feat. JONY),single,58,"['EMIN', 'JONY']",185,1,187619,False,057YRaQ57p70MVg4hMIIkB,False,True,Камин (feat. JONY),68,1,track,2020-03-27,[]
LEO-NiNE,album,60,['LiSA'],185,1,237586,False,0qMip0B2D4ePEjBJvAtYre,False,True,紅蓮華,69,2,track,2020-10-14,"['j-pop', 'anime', 'j-rock']"
WAP (feat. Megan Thee Stallion),single,63,"['Cardi B', 'Megan Thee Stallion']",185,1,187541,True,4Oun2ylbjFKMPTiaSbbCih,False,True,WAP (feat. Megan Thee Stallion),73,1,track,2020-08-07,[]
Kid Krow,album,79,['Conan Gray'],179,1,231920,False,7wTqEW5nrMhvyEhEyTnOMd,False,True,The Cut That Always Bleeds,81,6,track,2020-03-20,[]
Changes,album,69,"['Justin Bieber', 'Quavo']",184,1,212866,False,4umIPjkehX1r7uhmGvXiSV,False,True,Intentions (feat. Quavo),72,4,track,2020-02-14,[]
Color,single,64,['Coyote Theory'],185,1,242010,False,79EkGysjP2dL5GdpeQjRxT,False,True,This Side of Paradise,75,3,track,2020-12-11,[]
四季予你,single,45,['程響'],185,1,248527,False,4BGkSCrjiLao1bpibNptTD,False,True,四季予你,54,1,track,2020-12-19,"['gufeng', 'c-pop', 'mandopop']"
